"name","price","speed","modules","price_per_gb","color","first_word_latency","cas_latency"
"G.Skill Trident Z Neo 16 GB",66.98,"4,3600","2,8",4.186,"Black / Silver",8.889,16
"Lexar THOR 32 GB",76.03,"4,3200","2,16",2.376,"Black",10,16
"OLOy MD4U0836180BHKDA 16 GB",34.97,"4,3600","2,8",2.186,"Black",10,18
"Corsair Dominator Titanium 48 GB",249.99,"5,7200","2,24",5.208,"White",10,36
"Crucial CT16G4DFRA32A 16 GB",33.99,"4,3200","1,16",2.124,"Green",13.75,22
"Corsair Dominator Titanium 64 GB",359.99,"5,6400","4,16",5.625,"Black",10,32
"TEAMGROUP Elite 16 GB",29.99,"4,3200","1,16",1.874,"Black",13.75,22
"Crucial CT2K16G48C40U5 32 GB",87.66,"5,4800","2,16",2.739,"Black",16.667,40
"Corsair Dominator Titanium 64 GB",289.99,"5,6000","2,32",4.531,"Black",10,30
"G.Skill Trident Z RGB 96 GB",339.99,"5,6400","2,48",3.542,"Black",10,32
"TEAMGROUP T-Create Expert 32 GB",94.99,"5,6000","2,16",2.968,"White",12.667,38
"Corsair Vengeance RGB 32 GB",127.99,"5,6000","2,16",4,"Black",12,36
"OLOy OWL RGB 16 GB",42.99,"4,3200","2,8",2.687,"White",10,16
"G.Skill Trident Z5 RGB 64 GB",214.99,"5,6000","2,32",3.359,"Black",10,30
"Kingston FURY Beast 16 GB",44.85,"4,3200","1,16",2.803,"Black",10,16
"Corsair Vengeance LPX 16 GB",41.99,"4,2400","2,8",2.624,"Black / Yellow",13.333,16
"Corsair Vengeance RGB Pro 16 GB",63.99,"4,3600","2,8",3.999,"White",10,18
"Patriot Signature Premium 16 GB",24.99,"4,2666","1,16",1.562,"Black",14.254,19
"Kingston FURY 32 GB",146.3,"5,6000","2,16",4.572,"White",13.333,40
"TEAMGROUP T-Force Vulcan Z 64 GB",114.99,"4,3200","2,32",1.797,"Gray",10,16
