name,price,image,category,specifications,uid
Intel Core i5-12400T,169.99,,CPU,"{'tdp': 74, 'date': '2022-08-01', 'socket': 'LGA1700', 'speed': 1800, 'turbo': 4200, 'cores': 6}",ac064e1c-8137-4798-8d00-56ef5e257374
Intel Core i5-12490F,212.22,,CPU,"{'tdp': 65, 'date': '2022-06-01', 'socket': 'LGA1700', 'speed': 3000, 'turbo': 4600, 'cores': 6}",5cb55e98-6cb4-4742-9094-8562cd9ce7d1
Intel Core i5-12500,202.0,,CPU,"{'tdp': 65, 'date': '2022-01-01', 'socket': 'LGA1700', 'speed': 3000, 'turbo': 4600, 'cores': 6}",b74a6ca2-fdf1-4341-8508-89fba00b378a
Intel Core i5-12500T,202.0,,CPU,"{'tdp': 35, 'date': '2022-04-01', 'socket': 'LGA1700', 'speed': 2000, 'turbo': 4400, 'cores': 6}",6f5bb153-3609-4b39-ba08-d57f0e380856
Intel Core i5-12600,280.24,,CPU,"{'tdp': 65, 'date': '2022-01-01', 'socket': 'LGA1700', 'speed': 3300, 'turbo': 4800, 'cores': 6}",20339417-8aaf-4a17-9742-fdb3b79f23e2
Intel Core i5-12600K,259.99,,CPU,"{'tdp': 150, 'date': '2021-11-01', 'socket': 'LGA1700', 'speed': 3700, 'turbo': 4900, 'cores': 6}",2ea5934b-f99c-4bce-adea-db5920386482
Intel Core i5-12600KF,233.99,,CPU,"{'tdp': 150, 'date': '2021-11-01', 'socket': 'LGA1700', 'speed': 3600, 'turbo': 4900, 'cores': 6}",c30ee404-9018-4b62-81ed-cf4c6948d417
Intel Core i5-13600K,319.99,,CPU,"{'tdp': 125, 'date': '2022-09-01', 'socket': 'LGA1700', 'speed': 3500, 'turbo': 5200, 'cores': 6}",187e3599-c5dd-41ed-a865-afe7c277f70b
Intel Core i5-13600KF,309.79,,CPU,"{'tdp': 125, 'date': '2022-10-01', 'socket': 'LGA1700', 'speed': 3500, 'turbo': 5100, 'cores': 6}",9fed01b6-15d7-42df-a8fc-8fe2dc060139
Intel Core i5-8400T @ 1.70GHz,239.84,,CPU,"{'tdp': 35, 'date': '2018-05-01', 'socket': 'LGA1151-2', 'speed': 1700, 'turbo': 3300, 'cores': 6}",8abfb29d-0292-4a2c-a350-7f782ca8e7af
Intel Core i5-8500 @ 3.00GHz,138.0,,CPU,"{'tdp': 65, 'date': '2018-03-01', 'socket': 'LGA1151-2', 'speed': 3000, 'turbo': 4100, 'cores': 6}",70b2a1c5-070e-4df0-b423-4ec0030bfea9
Intel Core i5-8500T @ 2.10GHz,250.94,,CPU,"{'tdp': 35, 'date': '2018-04-01', 'socket': 'LGA1151-2', 'speed': 2100, 'turbo': 3500, 'cores': 6}",b13f68db-2d84-40d4-8c9d-9a8caefa7f96
Intel Core i5-8600 @ 3.10GHz,174.18,,CPU,"{'tdp': 65, 'date': '2018-05-01', 'socket': 'LGA1151-2', 'speed': 3100, 'turbo': 4300, 'cores': 6}",93ba096f-1678-49b1-91a9-2694f8c7a5fc
Intel Core i5-8600T @ 2.30GHz,199.99,,CPU,"{'tdp': 35, 'date': '2018-04-01', 'socket': 'LGA1151-2', 'speed': 2300, 'turbo': 3700, 'cores': 6}",9d6f54c6-adb6-4a52-9d0e-b219cf3b189a
Intel Core i5-9400 @ 2.90GHz,179.35,,CPU,"{'tdp': 65, 'date': '2019-03-01', 'socket': 'LGA1151-2', 'speed': 2900, 'turbo': 4100, 'cores': 6}",d4e10c06-47b5-4c47-aab6-3d959e301bdb
