"","name","price","socket","form_factor","max_memory","memory_slots","color"
"186","Gigabyte H610M S2H V2 DDR4",89.99,"LGA1700","Micro ATX",64,2,"Black / Gray"
"187","Gigabyte B650I AX",NA,"AM5","Mini ITX",96,2,"Black"
"188","Asus ROG STRIX Z790-I GAMING WIFI",439.99,"LGA1700","Mini ITX",96,2,"Black"
"189","MSI MAG B760 TOMAHAWK WIFI DDR4",179.99,"LGA1700","ATX",128,4,"Black"
"190","ASRock Fatal1ty B450 Gaming-ITX/ac",146.86,"AM4","Mini ITX",64,2,"Black / Silver"
"191","Asus ROG STRIX Z790-F GAMING WIFI",269.99,"LGA1700","ATX",192,4,"Black"
"192","ASRock Z790 Lightning WiFi",159.99,"LGA1700","ATX",192,4,"Silver / Black"
"193","Gigabyte X670E AORUS XTREME (rev. 1.0)",649.99,"AM5","EATX",192,4,"Black"
"194","ASRock B550M Steel Legend",115.98,"AM4","Micro ATX",128,4,"Silver / Black"
"195","Asus PRIME Z790-V WIFI",219.99,"LGA1700","ATX",192,4,"Black / Silver"
"196","NZXT N7 B550",NA,"AM4","ATX",128,4,"White / Black"
"197","Asus ROG STRIX B450-F GAMING",NA,"AM4","ATX",128,4,"Black"
"198","Gigabyte Z790M AORUS ELITE AX ICE",204.99,"LGA1700","Micro ATX",192,4,"White / Silver"
"199","MSI B450M-A PRO MAX",92.21,"AM4","Micro ATX",32,2,"Black"
"200","Gigabyte Z790 UD AC",189.99,"LGA1700","ATX",192,4,"Black"
"201","Asus ROG MAXIMUS Z790 APEX ENCORE",869.47,"LGA1700","ATX",96,2,"Black"
"202","ASRock B450M Pro4",NA,"AM4","Micro ATX",128,4,"Black / Silver"
"203","ASRock B650 PG LIGHTNING",149.99,"AM5","ATX",192,4,"Black"
"204","ASRock X670E Taichi",409.99,"AM5","EATX",192,4,"Black"
"205","Gigabyte B760 AORUS ELITE AX",169.99,"LGA1700","ATX",192,4,"Black"
"206","Gigabyte B450M DS3H",124.94,"AM4","Micro ATX",128,4,"Black / Silver"
"207","Gigabyte B550M AORUS ELITE",132.27,"AM4","Micro ATX",128,4,"Black / Orange"
"208","Gigabyte X670E AORUS MASTER (rev. 1.0)",391.71,"AM5","EATX",192,4,"Black / Silver"
